relationship_id,source_account,target_account,relationship_type,total_amount,transaction_count
REL20063,ACC100010,ACC100012,Beneficiary,594436.51,40
REL20064,ACC100062,ACC100004,Co-holder,942499.82,11
REL20065,ACC100056,ACC100021,Frequent Transactor,102156.55,14
REL20066,ACC100025,ACC100053,Common IP,554558.32,47
REL20067,ACC100070,ACC100034,Common IP,282241.55,16
REL20068,ACC100013,ACC100007,Co-holder,572198.04,32
REL20069,ACC100020,ACC100007,Beneficiary,4811.76,6
REL20070,ACC100038,ACC100062,Mule Chain,97889.91,14
REL20071,ACC100022,ACC100038,Frequent Transactor,474097.08,8
REL20072,ACC100040,ACC100051,Co-holder,489607.72,43
REL20073,ACC100034,ACC100012,Common IP,544581.9,12
REL20074,ACC100048,ACC100049,Beneficiary,187396.36,3
REL20075,ACC100034,ACC100057,Co-holder,264137.41,18
REL20076,ACC100008,ACC100020,Common IP,667800.99,6
REL20077,ACC100045,ACC100070,Co-holder,970734.83,38
REL20078,ACC100030,ACC100008,Co-holder,818586.81,27
REL20079,ACC100069,ACC100061,Shared Device,881772.22,31
REL20080,ACC100039,ACC100011,Co-holder,902874.42,46
REL20081,ACC100005,ACC100065,Shared Device,900554.61,37
REL20082,ACC100019,ACC100016,Co-holder,173706.09,11
REL20083,ACC100028,ACC100025,Mule Chain,43633.22,6
REL20084,ACC100056,ACC100026,Common IP,148730.37,39
REL20085,ACC100034,ACC100041,Common IP,914259.76,5
REL20086,ACC100012,ACC100050,Shared Device,397957.64,21
REL20087,ACC100036,ACC100067,Co-holder,917244.75,1
REL20088,ACC100067,ACC100054,Frequent Transactor,415027.96,10
REL20089,ACC100013,ACC100014,Shared Device,779765.15,19
REL20090,ACC100069,ACC100045,Co-holder,264872.49,42
REL20091,ACC100063,ACC100061,Frequent Transactor,173027.53,26
REL20092,ACC100019,ACC100052,Frequent Transactor,396396.95,22
REL20093,ACC100031,ACC100007,Common IP,475742.97,18
REL20094,ACC100048,ACC100003,Beneficiary,817568.54,20
REL20095,ACC100040,ACC100036,Co-holder,858376.55,44
REL20096,ACC100013,ACC100030,Mule Chain,301179.97,48
REL20097,ACC100057,ACC100042,Beneficiary,729070.61,39
REL20098,ACC100012,ACC100025,Co-holder,212179.11,27
REL20099,ACC100063,ACC100067,Beneficiary,821196.38,33
REL20100,ACC100021,ACC100009,Beneficiary,709859.83,26
REL20101,ACC100018,ACC100068,Shared Device,29919.21,13
REL20102,ACC100026,ACC100008,Mule Chain,34037.97,4
REL20103,ACC100047,ACC100026,Beneficiary,368983.58,30
REL20104,ACC100065,ACC100051,Common IP,923150.49,44
REL20105,ACC100004,ACC100031,Beneficiary,489297.95,29
REL20106,ACC100023,ACC100061,Shared Device,551782.39,23
REL20107,ACC100021,ACC100034,Common IP,831039.33,6
REL20108,ACC100037,ACC100004,Co-holder,50601.39,37
REL20109,ACC100028,ACC100029,Common IP,225886.93,14
REL20110,ACC100035,ACC100053,Shared Device,21032.31,50
REL20111,ACC100002,ACC100061,Mule Chain,647724.18,39
REL20112,ACC100002,ACC100029,Beneficiary,608735.54,20
REL20113,ACC100036,ACC100055,Co-holder,851734.59,30
REL20114,ACC100033,ACC100028,Co-holder,302842.95,34
REL20115,ACC100051,ACC100014,Frequent Transactor,512002.2,43
REL20116,ACC100048,ACC100037,Beneficiary,684728.72,31
REL20117,ACC100009,ACC100044,Beneficiary,640954.15,18
REL20118,ACC100034,ACC100039,Mule Chain,150779.37,49
REL20119,ACC100031,ACC100008,Shared Device,404694.33,21
REL20120,ACC100018,ACC100004,Common IP,497875.46,19
REL20121,ACC100034,ACC100054,Co-holder,388886.65,3
REL20122,ACC100025,ACC100044,Common IP,713655.92,44
REL20123,ACC100069,ACC100061,Common IP,359138.63,20
REL20124,ACC100022,ACC100024,Beneficiary,98505.46,9
REL20125,ACC100034,ACC100024,Common IP,899691.57,42
REL20126,ACC100012,ACC100029,Beneficiary,224104.6,20
REL20127,ACC100054,ACC100043,Beneficiary,261298.68,19
REL20128,ACC100060,ACC100016,Co-holder,54623.28,41
REL20129,ACC100010,ACC100061,Mule Chain,500976.9,44
REL20130,ACC100049,ACC100068,Beneficiary,413694.15,10
REL20131,ACC100018,ACC100026,Beneficiary,409782.65,37
REL20132,ACC100059,ACC100019,Beneficiary,862531.55,12
REL20133,ACC100011,ACC100063,Beneficiary,631401.74,12
REL20134,ACC100041,ACC100008,Frequent Transactor,452601.18,14
REL20135,ACC100022,ACC100021,Co-holder,785425.69,50
REL20136,ACC100012,ACC100017,Shared Device,434277.7,28
REL20137,ACC100052,ACC100055,Co-holder,383933.1,3
REL20138,ACC100069,ACC100026,Common IP,373728.3,1
REL20139,ACC100042,ACC100068,Mule Chain,18898.21,1
REL20140,ACC100032,ACC100029,Common IP,877108.15,20
REL20141,ACC100017,ACC100014,Co-holder,503833.14,20
REL20142,ACC100022,ACC100009,Frequent Transactor,298904.05,19
REL20143,ACC100059,ACC100067,Shared Device,524593.53,28
REL20144,ACC100018,ACC100044,Co-holder,359891.64,13
REL20145,ACC100022,ACC100052,Frequent Transactor,229189.87,47
REL20146,ACC100017,ACC100028,Common IP,22891.36,33
REL20147,ACC100022,ACC100016,Beneficiary,711398.98,3
REL20148,ACC100049,ACC100033,Shared Device,623511.64,39
REL20149,ACC100007,ACC100014,Common IP,836283.89,4
REL20150,ACC100015,ACC100054,Co-holder,380873.51,36
REL90001,ACC100001,ACC100002,Frequent Transactor,65718.62,6
REL90002,ACC100001,ACC100003,Shared Device,91511.29,3
REL90003,ACC100001,ACC100004,Frequent Transactor,96793.44,1
REL90004,ACC100001,ACC100005,Frequent Transactor,79801.93,2
REL90005,ACC100001,ACC100006,Co-holder,81423.77,10
REL90010,ACC100002,ACC100001,Shared Device,127746.78,8
REL90012,ACC100002,ACC100003,Shared Device,74346.74,6
REL90013,ACC100002,ACC100004,Mule Chain,144015.24,9
REL90014,ACC100002,ACC100005,Frequent Transactor,194867.97,8
REL90015,ACC100002,ACC100006,Shared Device,30700.08,8
REL90020,ACC100003,ACC100001,Frequent Transactor,93838.91,8
REL90021,ACC100003,ACC100002,Co-holder,50180.37,4
REL90023,ACC100003,ACC100004,Mule Chain,172913.77,10
REL90024,ACC100003,ACC100005,Beneficiary,183008.01,7
REL90025,ACC100003,ACC100006,Mule Chain,141424.85,6
REL90030,ACC100004,ACC100001,Beneficiary,93390.2,1
REL90031,ACC100004,ACC100002,Frequent Transactor,97690.2,6
REL90032,ACC100004,ACC100003,Co-holder,94942.13,3
REL90034,ACC100004,ACC100005,Beneficiary,154748.6,10
REL90035,ACC100004,ACC100006,Shared Device,29841.83,2
REL90040,ACC100005,ACC100001,Co-holder,164422.81,2
REL90041,ACC100005,ACC100002,Beneficiary,113449.22,2
REL90042,ACC100005,ACC100003,Beneficiary,108885.39,7
REL90043,ACC100005,ACC100004,Shared Device,85621.17,10
REL90045,ACC100005,ACC100006,Mule Chain,111850.06,8
REL90050,ACC100006,ACC100001,Co-holder,17881.69,4
REL90051,ACC100006,ACC100002,Common IP,120239.19,7
REL90052,ACC100006,ACC100003,Shared Device,158528.72,9
REL90053,ACC100006,ACC100004,Common IP,51050.09,2
REL90054,ACC100006,ACC100005,Common IP,186518.34,10
