historical_case_id,district_id,withdrawal_location_id,fraud_type,fraud_amount,transaction_hour,city,latitude,longitude,account_risk,transaction_velocity,distance_to_location,atm_density,historical_similarity,withdrawal_zone,outcome
HC30044,TN03,OSM00364,SIM Swap,196663.14,5,Chennai,13.0695,80.2246,0.78,5,6.27,14,0.8,OSM00364,No Activity
HC30045,TN11,OSM00437,SIM Swap,235362.63,14,Karur,10.8522,77.8482,0.87,11,11.52,3,0.54,OSM00437,No Activity
HC30046,TN05,OSM01222,Phishing,251935.23,13,Cuddalore,11.6113,79.5489,0.59,25,34.93,10,0.41,OSM01222,No Activity
HC30047,TN35,OSM00083,Romance Scam,235435.7,15,The Nilgiris,11.2981,76.9394,0.58,4,44.46,10,0.77,OSM00083,Withdrawal Detected
HC30048,TN38,OSM00920,SIM Swap,9155.56,11,Virudhunagar,9.5847,77.955,0.74,5,30.71,5,0.92,OSM00920,Withdrawal Attempted
HC30049,TN04,OSM00116,OTP Fraud,32856.69,3,Coimbatore,10.9948,76.9593,0.83,20,29.36,15,0.88,OSM00116,Withdrawal Attempted
HC30050,TN31,OSM01127,Romance Scam,275044.06,1,Tirunelveli,8.7192,77.7327,0.8,15,22.68,1,0.96,OSM01127,Withdrawal Attempted
HC30051,TN08,OSM00420,Romance Scam,102982.0,12,Erode,11.4551,77.4389,0.77,6,11.3,18,0.19,OSM00420,Withdrawal Detected
HC30052,TN03,OSM00962,Card Skimming,163582.18,1,Chennai,13.0602,80.2603,0.47,14,38.39,18,0.95,OSM00962,No Activity
HC30053,TN07,OSM01262,Card Skimming,269462.42,21,Dindigul,10.3548,77.9614,0.86,11,26.93,13,0.17,OSM01262,Withdrawal Attempted
HC30054,TN03,OSM00788,OTP Fraud,124682.67,17,Chennai,13.056,80.2426,0.66,11,45.35,18,0.52,OSM00788,Withdrawal Detected
HC30055,TN34,OSM00180,Romance Scam,272283.92,21,Tiruvannamalai,12.109,79.2462,0.71,4,4.24,5,0.19,OSM00180,No Activity
HC30056,TN30,OSM00689,Romance Scam,215417.63,21,Tiruchirappalli,10.8337,78.6931,0.81,6,42.25,1,0.23,OSM00689,Withdrawal Detected
HC30057,TN03,OSM00324,Loan Fraud,294292.98,9,Chennai,12.9641,80.2139,0.41,20,37.77,4,0.33,OSM00324,Withdrawal Detected
HC30058,TN05,OSM01216,OTP Fraud,223335.26,11,Cuddalore,11.7179,79.7687,0.43,10,38.51,5,0.94,OSM01216,No Activity
HC30059,TN05,OSM01010,Romance Scam,113938.69,22,Cuddalore,11.5569,79.5546,0.53,17,25.9,14,0.76,OSM01010,Withdrawal Detected
HC30060,TN29,OSM01419,Identity Theft,59864.09,18,Thoothukudi,8.7403,78.1224,0.57,4,4.66,14,0.58,OSM01419,Withdrawal Attempted
HC30061,TN03,OSM01311,Romance Scam,292449.75,23,Chennai,12.8639,80.2424,0.76,2,28.31,20,0.87,OSM01311,No Activity
HC30062,TN03,OSM00157,Job Fraud,153942.07,1,Chennai,12.9455,80.2394,0.88,11,1.22,2,0.97,OSM00157,No Activity
HC30063,TN22,OSM00344,OTP Fraud,295616.93,14,Salem,11.6255,78.1471,0.5,14,48.53,8,0.86,OSM00344,Withdrawal Attempted
HC30064,TN03,OSM00723,SIM Swap,281451.4,0,Chennai,13.0042,80.2017,0.88,17,2.38,4,0.74,OSM00723,Withdrawal Attempted
HC30065,TN12,OSM01420,Phishing,115373.68,23,Krishnagiri,12.7167,77.8777,0.83,10,47.53,8,0.85,OSM01420,Withdrawal Attempted
HC30066,TN31,OSM01126,Loan Fraud,57486.9,13,Tirunelveli,8.7276,77.7227,0.66,3,39.92,18,0.91,OSM01126,No Activity
HC30067,TN04,OSM00642,UPI Fraud,83849.13,15,Coimbatore,11.0254,76.9062,0.88,17,3.55,5,0.39,OSM00642,No Activity
HC30068,TN13,OSM01483,Identity Theft,27067.53,0,Madurai,9.9343,78.0966,0.82,17,32.05,18,0.83,OSM01483,Withdrawal Detected
HC30069,TN33,OSM01574,Phishing,154115.39,4,Tiruppur,11.1879,77.2773,0.58,15,39.7,16,0.15,OSM01574,Withdrawal Attempted
HC30070,TN29,OSM01031,Identity Theft,31571.45,11,Thoothukudi,8.7425,78.0455,0.77,8,6.88,18,0.87,OSM01031,Withdrawal Detected
HC30071,TN25,OSM00272,Job Fraud,88614.11,11,Thanjavur,10.7873,79.1397,0.43,16,30.67,14,0.54,OSM00272,Withdrawal Attempted
HC30072,TN12,OSM01299,Card Skimming,129403.77,2,Krishnagiri,12.3468,78.2917,0.89,7,2.41,8,0.88,OSM01299,No Activity
HC30073,TN04,OSM00442,Loan Fraud,49935.97,18,Coimbatore,11.02,76.9398,0.7,14,39.13,20,0.47,OSM00442,No Activity
HC30074,TN04,OSM01339,Investment Scam,258495.5,20,Coimbatore,11.1025,76.9318,0.5,10,18.79,17,0.5,OSM01339,No Activity
HC30075,TN24,OSM00205,SIM Swap,130489.53,4,Tenkasi,9.3086,77.5485,0.66,15,23.39,6,0.5,OSM00205,No Activity
HC30076,TN35,OSM00093,Investment Scam,281686.13,2,The Nilgiris,11.3055,76.9353,0.94,8,5.9,19,0.77,OSM00093,No Activity
HC30077,TN29,OSM00880,OTP Fraud,74383.08,16,Thoothukudi,8.8042,78.1209,0.54,15,31.67,14,0.62,OSM00880,Withdrawal Detected
HC30078,TN04,OSM00702,UPI Fraud,146727.3,2,Coimbatore,11.0278,76.9517,0.58,25,4.78,1,0.36,OSM00702,Withdrawal Attempted
HC30079,TN37,OSM00826,SIM Swap,179273.71,5,Viluppuram,11.9751,79.2234,0.98,14,40.29,13,0.27,OSM00826,Withdrawal Detected
HC30080,TN35,OSM00174,Job Fraud,7850.38,16,The Nilgiris,11.4044,76.6966,0.4,2,22.36,13,0.68,OSM00174,Withdrawal Attempted
HC30081,TN24,OSM00204,Phishing,285164.7,6,Tenkasi,9.3094,77.5486,0.52,16,45.55,9,0.64,OSM00204,No Activity
HC30082,TN05,OSM00761,UPI Fraud,37634.11,9,Cuddalore,11.8646,79.7578,0.96,7,48.59,3,0.77,OSM00761,No Activity
HC30083,TN35,OSM00083,Romance Scam,133291.88,1,The Nilgiris,11.2981,76.9394,0.98,4,13.56,8,0.88,OSM00083,Withdrawal Attempted
HC30084,TN03,OSM00509,Investment Scam,136699.01,0,Chennai,12.9227,80.1441,0.41,22,5.13,5,0.24,OSM00509,Withdrawal Detected
HC30085,TN19,OSM00477,UPI Fraud,9744.8,2,Pudukkottai,10.0814,78.771,0.76,25,8.3,18,0.9,OSM00477,No Activity
HC30086,TN04,OSM00088,Romance Scam,257818.17,17,Coimbatore,11.0041,76.9835,0.7,6,1.94,12,0.4,OSM00088,No Activity
HC30087,TN03,OSM00723,Job Fraud,184813.45,16,Chennai,13.0042,80.2017,0.66,24,33.89,20,0.67,OSM00723,Withdrawal Attempted
HC30088,TN22,OSM00775,OTP Fraud,126056.23,6,Salem,11.5966,78.0849,0.5,5,21.8,17,0.26,OSM00775,Withdrawal Detected
HC30089,TN29,OSM01384,Identity Theft,26408.95,5,Thoothukudi,8.8004,78.1474,0.46,9,36.03,1,0.24,OSM01384,Withdrawal Detected
HC30090,TN22,OSM00483,Loan Fraud,289392.15,13,Salem,11.6714,78.1136,0.48,12,12.29,9,0.36,OSM00483,Withdrawal Attempted
HC30091,TN09,OSM00885,Investment Scam,255499.6,23,Kallakurichi,11.5332,79.3166,0.43,5,0.36,6,0.46,OSM00885,No Activity
HC30092,TN02,OSM00038,SIM Swap,75901.69,1,Chengalpattu,12.6179,80.1941,0.77,16,37.84,20,0.42,OSM00038,Withdrawal Detected
HC30093,TN16,OSM01148,Card Skimming,53133.4,7,Kanniyakumari,8.3154,77.2025,0.52,24,28.35,12,0.19,OSM01148,No Activity
HC30094,TN22,OSM01444,Identity Theft,7589.23,2,Salem,11.6715,78.1138,0.55,8,3.94,6,0.81,OSM01444,Withdrawal Detected
HC30095,TN08,OSM00279,Identity Theft,295855.13,3,Erode,11.3336,77.7189,0.76,6,38.91,10,0.74,OSM00279,Withdrawal Attempted
HC30096,TN05,OSM01073,OTP Fraud,129963.53,8,Cuddalore,11.7469,79.7565,0.56,18,19.69,20,0.67,OSM01073,No Activity
HC30097,TN13,OSM01453,Card Skimming,142182.26,3,Madurai,9.9221,78.0935,0.59,12,6.26,2,0.89,OSM01453,Withdrawal Detected
HC30098,TN03,OSM01072,UPI Fraud,230982.82,7,Chennai,12.9832,80.166,0.58,17,34.49,5,0.18,OSM01072,Withdrawal Detected
HC30099,TN03,OSM00571,UPI Fraud,173517.42,7,Chennai,12.9288,80.1481,0.82,9,42.4,5,0.55,OSM00571,Withdrawal Attempted
HC30100,TN19,OSM00829,Phishing,136416.85,21,Pudukkottai,10.079,78.7444,0.52,16,45.53,20,0.72,OSM00829,Withdrawal Attempted
HC30101,TN25,OSM00270,Card Skimming,134769.32,8,Thanjavur,10.7786,79.1465,0.45,7,43.85,13,0.24,OSM00270,Withdrawal Attempted
HC30102,TN31,OSM01045,Card Skimming,235619.79,2,Tirunelveli,8.6299,77.9112,0.93,21,43.59,7,0.42,OSM01045,Withdrawal Attempted
HC30103,TN04,OSM00338,Investment Scam,124943.97,7,Coimbatore,10.995,76.973,0.69,2,2.29,5,0.39,OSM00338,Withdrawal Detected
HC30104,TN11,OSM00400,Identity Theft,238785.81,23,Karur,11.0234,78.2841,0.99,14,48.96,14,0.75,OSM00400,No Activity
HC30105,TN16,OSM00466,Job Fraud,106648.52,23,Kanniyakumari,8.1997,77.452,0.86,23,26.07,9,0.54,OSM00466,Withdrawal Attempted
HC30106,TN04,OSM00481,SIM Swap,197212.12,5,Coimbatore,11.2779,76.982,0.99,11,8.98,12,0.89,OSM00481,Withdrawal Detected
HC30107,TN05,OSM01102,Romance Scam,129498.67,23,Cuddalore,11.7315,79.7642,0.4,10,22.52,11,0.93,OSM01102,Withdrawal Detected
HC30108,TN03,OSM00709,Investment Scam,251653.79,14,Chennai,13.0809,80.2687,0.52,6,14.47,15,0.63,OSM00709,No Activity
HC30109,TN30,OSM00393,Job Fraud,101048.29,16,Tiruchirappalli,10.7737,78.6932,0.75,20,25.29,18,0.92,OSM00393,Withdrawal Attempted
HC30110,TN03,OSM01312,Investment Scam,13981.65,11,Chennai,12.8671,80.2429,0.85,7,34.05,2,0.46,OSM01312,Withdrawal Detected
HC30111,TN16,OSM00506,Card Skimming,19906.24,20,Kanniyakumari,8.2755,77.5654,0.95,16,30.9,4,0.13,OSM00506,Withdrawal Detected
HC30112,TN16,OSM01147,Investment Scam,280089.64,15,Kanniyakumari,8.314,77.2037,0.76,19,24.04,5,0.81,OSM01147,No Activity
HC30113,TN37,OSM00822,OTP Fraud,229997.23,5,Viluppuram,11.9379,79.5022,0.53,19,26.7,2,0.91,OSM00822,Withdrawal Detected
HC30114,TN36,OSM00751,Investment Scam,185773.57,17,Vellore,12.9353,79.1516,0.66,10,38.84,6,0.21,OSM00751,Withdrawal Detected
HC30115,TN19,OSM00477,Job Fraud,79932.02,12,Pudukkottai,10.0814,78.771,0.64,11,34.68,18,0.64,OSM00477,Withdrawal Attempted
HC30116,TN03,OSM00507,OTP Fraud,164534.27,23,Chennai,12.9229,80.1324,0.92,9,18.34,17,0.83,OSM00507,No Activity
HC30117,TN25,OSM01081,Loan Fraud,137400.18,23,Thanjavur,10.9712,79.3773,0.47,24,38.14,4,0.42,OSM01081,Withdrawal Attempted
HC30118,TN03,OSM00004,Investment Scam,259491.17,8,Chennai,12.9932,80.1853,0.86,9,15.33,8,0.14,OSM00004,No Activity
HC30119,TN04,OSM00732,SIM Swap,73274.86,22,Coimbatore,11.0135,76.9318,0.96,12,49.26,14,0.48,OSM00732,Withdrawal Attempted
HC30120,TN03,OSM00936,OTP Fraud,128906.95,21,Chennai,13.0997,80.1707,0.51,13,38.12,6,0.46,OSM00936,Withdrawal Attempted
HC30121,TN05,OSM01102,Investment Scam,172312.19,12,Cuddalore,11.7315,79.7642,0.88,23,40.62,13,0.69,OSM01102,No Activity
HC30122,TN03,OSM00185,UPI Fraud,169538.06,14,Chennai,12.9829,80.1901,0.88,19,40.85,2,0.11,OSM00185,Withdrawal Attempted
HC30123,TN25,OSM01205,Identity Theft,222023.77,18,Thanjavur,10.9576,79.3741,0.52,4,29.93,13,0.86,OSM01205,Withdrawal Attempted
HC30124,TN29,OSM01369,Job Fraud,87896.27,8,Thoothukudi,8.7993,78.1331,0.54,21,0.38,14,0.39,OSM01369,Withdrawal Detected
HC30125,TN03,OSM00513,Loan Fraud,221163.65,18,Chennai,12.9223,80.1409,0.93,17,45.08,9,0.61,OSM00513,No Activity
HC30126,TN14,OSM01602,Investment Scam,78262.94,17,Mayiladuthurai,10.9889,79.4375,0.61,14,48.36,17,0.82,OSM01602,Withdrawal Attempted
HC30127,TN03,OSM00601,Job Fraud,251291.35,8,Chennai,12.8304,80.2296,0.89,20,46.6,10,0.68,OSM00601,No Activity
HC30128,TN05,OSM01219,OTP Fraud,80171.42,20,Cuddalore,11.772,79.7604,0.6,24,46.42,4,0.91,OSM01219,Withdrawal Attempted
HC30129,TN26,OSM00171,Investment Scam,199333.86,8,Theni,10.2359,77.4934,0.53,14,19.36,4,0.7,OSM00171,No Activity
HC30130,TN16,OSM01502,Identity Theft,241907.84,2,Kanniyakumari,8.0926,77.5503,0.97,3,34.3,15,0.87,OSM01502,Withdrawal Detected
HC30131,TN03,OSM00040,Identity Theft,289340.11,16,Chennai,12.9519,80.1408,0.92,11,5.47,19,0.35,OSM00040,No Activity
HC30132,TN04,OSM01537,Investment Scam,57133.46,5,Coimbatore,11.0387,76.9264,0.61,14,8.36,12,0.26,OSM01537,No Activity
HC30133,TN08,OSM00425,UPI Fraud,207968.36,7,Erode,11.4503,77.4352,0.93,13,4.38,8,0.26,OSM00425,Withdrawal Detected
HC30134,TN29,OSM01026,Card Skimming,248675.09,10,Thoothukudi,8.8158,78.1336,0.8,11,46.87,13,0.24,OSM01026,Withdrawal Detected
HC30135,TN35,OSM00084,Identity Theft,155284.5,3,The Nilgiris,11.2997,76.9387,0.95,18,47.52,19,0.24,OSM00084,Withdrawal Detected
HC30136,TN03,OSM00975,Phishing,58243.89,6,Chennai,13.0912,80.2825,0.75,12,30.04,15,0.39,OSM00975,Withdrawal Detected
HC30137,TN10,OSM00740,Card Skimming,174727.11,11,Kancheepuram,12.6649,79.5404,0.74,4,15.37,3,0.77,OSM00740,Withdrawal Attempted
HC30138,TN04,OSM00110,Card Skimming,143342.86,20,Coimbatore,11.059,76.9971,0.68,10,1.98,8,0.45,OSM00110,No Activity
HC30139,TN03,OSM00008,OTP Fraud,92558.7,1,Chennai,13.083,80.2744,0.44,20,21.94,2,0.22,OSM00008,Withdrawal Attempted
HC30140,TN30,OSM00292,SIM Swap,115090.83,1,Tiruchirappalli,10.7844,78.7757,0.64,8,25.72,7,0.48,OSM00292,Withdrawal Attempted
HC30141,TN02,OSM00989,Loan Fraud,143275.92,1,Chengalpattu,12.6877,79.9802,0.85,16,20.72,16,0.14,OSM00989,Withdrawal Detected
HC30142,TN04,OSM00081,UPI Fraud,211346.16,3,Coimbatore,10.9969,77.001,0.47,23,8.67,15,0.49,OSM00081,Withdrawal Detected
HC30143,TN03,OSM00416,Identity Theft,122949.53,14,Chennai,13.0448,80.2639,0.48,9,31.86,7,0.71,OSM00416,No Activity
HC30144,TN06,OSM00734,Identity Theft,269149.54,10,Dharmapuri,12.3028,78.0738,0.61,24,3.41,5,0.9,OSM00734,Withdrawal Attempted
HC30145,TN14,OSM01098,Investment Scam,215387.74,1,Mayiladuthurai,11.4347,79.5426,0.93,15,12.52,8,0.83,OSM01098,No Activity
HC30146,TN03,OSM00844,Card Skimming,157852.75,7,Chennai,12.9787,80.1831,0.73,4,3.94,15,0.28,OSM00844,Withdrawal Attempted
HC30147,TN30,OSM00301,Romance Scam,83629.23,12,Tiruchirappalli,10.815,78.6995,0.85,4,36.99,16,0.84,OSM00301,Withdrawal Detected
HC30148,TN08,OSM00473,Romance Scam,58960.52,12,Erode,11.4497,77.7717,0.53,3,45.96,17,0.96,OSM00473,Withdrawal Attempted
HC30149,TN29,OSM01031,OTP Fraud,224748.42,11,Thoothukudi,8.7425,78.0455,0.74,21,26.13,17,0.21,OSM01031,Withdrawal Detected
HC30150,TN16,OSM01067,Phishing,129938.55,3,Kanniyakumari,8.1504,77.5717,0.8,7,45.44,7,0.28,OSM01067,Withdrawal Detected
HC30151,TN30,OSM01164,Loan Fraud,197805.06,18,Tiruchirappalli,10.7272,78.5617,0.93,14,41.82,1,0.86,OSM01164,No Activity
HC30152,TN16,OSM01336,Investment Scam,34401.65,3,Kanniyakumari,8.3866,77.6093,0.59,16,36.19,12,0.13,OSM01336,Withdrawal Attempted
HC30153,TN02,OSM00177,Phishing,186283.09,10,Chengalpattu,12.6198,80.1943,0.4,18,11.01,6,0.46,OSM00177,Withdrawal Detected
HC30154,TN25,OSM00281,SIM Swap,173843.15,13,Thanjavur,10.7899,79.1382,0.64,17,33.56,19,0.29,OSM00281,Withdrawal Detected
HC30155,TN33,OSM01544,Phishing,219659.88,15,Tiruppur,10.9441,77.4363,0.7,19,2.94,17,0.98,OSM01544,No Activity
HC30156,TN16,OSM01147,OTP Fraud,195698.42,19,Kanniyakumari,8.314,77.2037,0.9,25,2.53,12,0.23,OSM01147,Withdrawal Detected
HC30157,TN29,OSM01049,Romance Scam,49488.09,9,Thoothukudi,8.7469,78.0544,0.44,25,8.11,12,0.83,OSM01049,Withdrawal Attempted
HC30158,TN30,OSM00399,Card Skimming,77474.92,12,Tiruchirappalli,10.8574,78.6918,0.89,15,20.97,17,0.37,OSM00399,Withdrawal Detected
HC30159,TN03,OSM01532,Card Skimming,249103.27,1,Chennai,13.3567,80.1422,0.88,19,36.46,7,0.51,OSM01532,Withdrawal Detected
HC30160,TN37,OSM00783,Phishing,147952.73,3,Viluppuram,11.9402,79.4976,0.54,24,32.43,15,0.1,OSM00783,Withdrawal Detected
HC30161,TN25,OSM01081,Card Skimming,153562.61,6,Thanjavur,10.9712,79.3773,0.51,2,34.14,19,0.54,OSM01081,Withdrawal Detected
HC30162,TN03,OSM00859,OTP Fraud,159906.91,8,Chennai,12.9693,80.1902,0.96,17,16.98,18,0.12,OSM00859,Withdrawal Detected
HC30163,TN18,OSM01249,Phishing,82409.35,13,Perambalur,11.1378,78.5918,0.92,7,20.46,1,0.59,OSM01249,Withdrawal Attempted
HC30164,TN04,OSM00114,Phishing,250864.61,0,Coimbatore,10.9937,76.9618,0.68,6,9.1,17,0.79,OSM00114,No Activity
HC30165,TN31,OSM00915,UPI Fraud,164362.57,19,Tirunelveli,8.7219,77.6582,0.83,12,7.24,2,0.66,OSM00915,No Activity
HC30166,TN18,OSM01250,Identity Theft,244159.52,23,Perambalur,11.139,78.5919,0.47,22,38.81,20,0.98,OSM01250,No Activity
HC30167,TN35,OSM00094,Phishing,217478.02,17,The Nilgiris,11.3086,76.9328,0.66,4,3.07,20,0.2,OSM00094,No Activity
HC30168,TN03,OSM00858,Card Skimming,120728.9,17,Chennai,13.0496,80.1815,0.47,7,26.22,7,0.7,OSM00858,Withdrawal Detected
HC30169,TN12,OSM01424,SIM Swap,31304.56,6,Krishnagiri,12.7054,77.8448,0.75,19,31.29,3,0.11,OSM01424,No Activity
HC30170,TN38,OSM00496,Investment Scam,296958.65,9,Virudhunagar,9.4519,77.7918,0.47,8,3.23,16,0.5,OSM00496,Withdrawal Attempted
HC30171,TN26,OSM00464,SIM Swap,279110.06,2,Theni,9.9999,77.6182,0.92,22,30.96,18,0.9,OSM00464,No Activity
HC30172,TN04,OSM01317,OTP Fraud,184783.64,7,Coimbatore,11.026,77.0192,0.98,25,2.12,3,0.44,OSM01317,Withdrawal Detected
HC30173,TN09,OSM01295,Romance Scam,163905.33,23,Kallakurichi,11.518,79.3379,0.43,15,10.35,20,0.66,OSM01295,Withdrawal Attempted
HC30174,TN33,OSM01577,Loan Fraud,199994.73,17,Tiruppur,11.1903,77.2688,0.87,19,17.09,19,0.27,OSM01577,Withdrawal Attempted
HC30175,TN04,OSM00077,Card Skimming,152108.91,10,Coimbatore,11.0269,76.947,0.72,23,5.49,18,0.64,OSM00077,Withdrawal Detected
HC30176,TN07,OSM01158,OTP Fraud,176340.68,2,Dindigul,10.4727,77.7949,0.74,24,25.51,14,0.69,OSM01158,Withdrawal Detected
HC30177,TN08,OSM00387,Investment Scam,180598.43,18,Erode,11.4587,77.4401,0.93,23,0.36,4,0.24,OSM00387,Withdrawal Attempted
HC30178,TN16,OSM00200,Job Fraud,119455.29,6,Kanniyakumari,8.1792,77.4223,0.53,20,22.6,19,1.0,OSM00200,Withdrawal Detected
HC30179,TN03,OSM01575,Investment Scam,202405.62,16,Chennai,12.9299,80.1274,0.64,12,20.98,11,0.28,OSM01575,Withdrawal Detected
HC30180,TN35,OSM00282,SIM Swap,90137.08,10,The Nilgiris,11.424,76.866,0.69,12,42.4,1,0.84,OSM00282,Withdrawal Attempted
HC30181,TN29,OSM01391,Loan Fraud,38781.04,13,Thoothukudi,8.7962,78.1516,0.73,24,28.52,2,0.85,OSM01391,Withdrawal Attempted
