complaint_id,district_id,complaint_date,complaint_time,fraud_type,crime_category,fraud_amount,victim_city,victim_latitude,victim_longitude,source_channel,status
CC1043,TN29,2026-01-27,17:10:38,Card Skimming,Identity Fraud,54764.69,Thoothukudi,8.7416,78.1124,Walk-in Complaint,Resolved
CC1044,TN19,2025-06-16,18:08:20,UPI Fraud,Online Financial Fraud,27159.32,Pudukkottai,10.3624,78.8182,State Police Portal,Chargesheet Filed
CC1045,TN25,2026-07-18,00:40:27,Investment Scam,Banking Fraud,89821.22,Thanjavur,10.7983,79.1639,Bank Referral,Chargesheet Filed
CC1046,TN37,2026-08-06,01:56:32,UPI Fraud,Social Engineering,248841.63,Viluppuram,11.9828,79.4501,National Cybercrime Portal,Pending Review
CC1047,TN11,2025-08-29,02:48:23,Investment Scam,Identity Fraud,41498.2,Karur,10.9445,78.0336,Helpline 1930,Pending Review
CC1048,TN04,2026-06-22,13:41:50,Job Fraud,Social Engineering,274500.66,Coimbatore,10.9757,76.9265,State Police Portal,Under Investigation
CC1049,TN17,2025-08-21,07:03:41,Identity Theft,Online Financial Fraud,27189.07,Namakkal,11.2532,78.14,National Cybercrime Portal,Under Investigation
CC1050,TN15,2025-08-27,04:55:08,Identity Theft,Identity Fraud,162152.18,Nagapattinam,10.7928,79.8619,National Cybercrime Portal,Pending Review
CC1051,TN19,2026-05-20,00:42:45,Job Fraud,Cyber Deception,34912.81,Pudukkottai,10.3497,78.7741,State Police Portal,Pending Review
CC1052,TN32,2025-01-08,11:44:05,Romance Scam,Identity Fraud,255065.17,Tirupathur,12.5266,78.5558,State Police Portal,Pending Review
CC1053,TN01,2025-10-16,08:35:23,Identity Theft,Banking Fraud,80771.8,Ariyalur,11.1102,79.0894,Bank Referral,FIR Filed
CC1054,TN21,2025-09-24,12:07:41,Loan Fraud,Banking Fraud,15379.92,Ranipet,12.9375,79.3484,Walk-in Complaint,Resolved
CC1055,TN14,2025-07-09,03:02:24,Phishing,Social Engineering,100871.17,Mayiladuthurai,11.1155,79.6781,State Police Portal,Pending Review
CC1056,TN20,2026-01-05,14:03:41,SIM Swap,Cyber Deception,445213.05,Ramanathapuram,9.3983,78.8038,National Cybercrime Portal,Chargesheet Filed
CC1057,TN01,2025-08-10,05:55:21,SIM Swap,Banking Fraud,473450.74,Ariyalur,11.1289,79.0613,Helpline 1930,Pending Review
CC1058,TN11,2026-05-19,15:35:38,Loan Fraud,Social Engineering,39759.39,Karur,10.9208,78.0266,National Cybercrime Portal,Pending Review
CC1059,TN04,2025-01-12,08:59:00,Loan Fraud,Banking Fraud,191329.04,Coimbatore,11.0236,76.9217,National Cybercrime Portal,Chargesheet Filed
CC1060,TN14,2025-07-15,13:47:56,Investment Scam,Online Financial Fraud,140709.36,Mayiladuthurai,11.1239,79.6331,National Cybercrime Portal,Under Investigation
CC1061,TN20,2025-05-26,08:29:59,SIM Swap,Online Financial Fraud,459783.77,Ramanathapuram,9.3883,78.8503,National Cybercrime Portal,Resolved
CC1062,TN12,2025-01-15,03:05:46,SIM Swap,Banking Fraud,435026.1,Krishnagiri,12.5266,78.2194,Bank Referral,Under Investigation
CC1063,TN37,2026-05-07,02:46:44,OTP Fraud,Social Engineering,33513.73,Viluppuram,11.9579,79.4391,Helpline 1930,Resolved
CC1064,TN30,2026-02-27,05:00:36,UPI Fraud,Online Financial Fraud,479755.01,Tiruchirappalli,10.8281,78.7257,Helpline 1930,FIR Filed
CC1065,TN18,2025-01-25,21:17:55,SIM Swap,Social Engineering,345147.92,Perambalur,11.2652,78.9317,National Cybercrime Portal,Pending Review
CC1066,TN28,2026-07-27,22:31:50,SIM Swap,Online Financial Fraud,143972.04,Tiruvarur,10.7249,79.6211,Helpline 1930,Pending Review
CC1067,TN11,2026-01-18,21:57:23,Identity Theft,Cyber Deception,73702.15,Karur,10.9836,78.0613,State Police Portal,Pending Review
CC1068,TN26,2026-01-17,14:22:49,Loan Fraud,Social Engineering,407299.51,Theni,10.0356,77.4763,Walk-in Complaint,Resolved
CC1069,TN24,2026-03-19,02:38:16,OTP Fraud,Identity Fraud,462434.82,Tenkasi,8.9709,77.3102,Walk-in Complaint,FIR Filed
CC1070,TN03,2025-12-18,16:58:55,OTP Fraud,Cyber Deception,171483.29,Chennai,13.096,80.2952,Walk-in Complaint,FIR Filed
CC1071,TN14,2026-02-10,02:52:26,Phishing,Cyber Deception,272454.37,Mayiladuthurai,11.1105,79.6609,Bank Referral,Pending Review
CC1072,TN11,2025-08-21,21:45:50,Investment Scam,Banking Fraud,59343.75,Karur,10.9833,78.1063,Walk-in Complaint,Resolved
CC1073,TN34,2026-02-07,07:36:22,Job Fraud,Online Financial Fraud,113681.59,Tiruvannamalai,12.2397,79.0403,State Police Portal,Under Investigation
CC1074,TN33,2025-04-21,15:09:58,Phishing,Identity Fraud,121674.84,Tiruppur,11.0991,77.3736,Walk-in Complaint,Under Investigation
CC1075,TN13,2025-01-25,00:01:18,Phishing,Social Engineering,93671.34,Madurai,9.9528,78.0769,Bank Referral,Resolved
CC1076,TN08,2026-03-09,11:42:25,UPI Fraud,Cyber Deception,150807.52,Erode,11.3298,77.688,Helpline 1930,Pending Review
CC1077,TN38,2026-05-05,20:39:37,UPI Fraud,Banking Fraud,488529.72,Virudhunagar,9.5872,77.9475,Bank Referral,Resolved
CC1078,TN25,2026-07-06,03:27:44,Romance Scam,Cyber Deception,440437.24,Thanjavur,10.8319,79.1563,National Cybercrime Portal,Resolved
CC1079,TN03,2026-05-15,02:30:16,Identity Theft,Online Financial Fraud,42399.38,Chennai,13.1051,80.2923,National Cybercrime Portal,Resolved
CC1080,TN25,2025-12-12,07:38:30,UPI Fraud,Identity Fraud,155596.98,Thanjavur,10.8147,79.1733,State Police Portal,Pending Review
CC1081,TN27,2025-04-08,00:43:08,Romance Scam,Online Financial Fraud,467833.55,Tiruvallur,13.1346,79.9073,Helpline 1930,Chargesheet Filed
CC1082,TN37,2026-02-02,17:41:46,UPI Fraud,Identity Fraud,293244.87,Viluppuram,11.9599,79.4852,Helpline 1930,Chargesheet Filed
CC1083,TN11,2025-02-10,09:38:21,Job Fraud,Online Financial Fraud,343716.87,Karur,11.007,78.0343,Helpline 1930,Resolved
CC1084,TN16,2025-01-06,12:49:47,OTP Fraud,Banking Fraud,22893.46,Kanniyakumari,8.0566,77.5225,Walk-in Complaint,Resolved
CC1085,TN15,2026-04-01,22:58:07,Phishing,Social Engineering,70463.45,Nagapattinam,10.7912,79.8896,Walk-in Complaint,Under Investigation
CC1086,TN29,2026-05-24,11:50:44,Job Fraud,Online Financial Fraud,354495.99,Thoothukudi,8.804,78.1216,Walk-in Complaint,Under Investigation
CC1087,TN27,2026-05-01,01:17:27,Identity Theft,Banking Fraud,34402.34,Tiruvallur,13.0989,79.9449,Bank Referral,Resolved
CC1088,TN26,2026-06-04,07:58:59,OTP Fraud,Online Financial Fraud,13030.53,Theni,9.969,77.4455,State Police Portal,Resolved
CC1089,TN35,2026-01-18,17:16:30,Phishing,Social Engineering,291478.14,The Nilgiris,11.4532,76.6877,State Police Portal,FIR Filed
CC1090,TN20,2025-05-17,23:44:25,UPI Fraud,Identity Fraud,30937.0,Ramanathapuram,9.3927,78.7934,Bank Referral,Pending Review
CC1091,TN34,2025-01-10,09:56:51,OTP Fraud,Identity Fraud,460445.1,Tiruvannamalai,12.2614,79.1048,State Police Portal,Resolved
CC1092,TN31,2026-05-06,06:06:11,Job Fraud,Cyber Deception,317064.89,Tirunelveli,8.718,77.7871,State Police Portal,FIR Filed
CC1093,TN33,2025-05-29,02:30:32,Phishing,Cyber Deception,83201.63,Tiruppur,11.1212,77.3325,Bank Referral,FIR Filed
CC1094,TN17,2026-02-21,01:48:27,UPI Fraud,Identity Fraud,390535.37,Namakkal,11.1717,78.1846,Bank Referral,Resolved
CC1095,TN29,2025-08-19,23:58:08,Card Skimming,Cyber Deception,474744.57,Thoothukudi,8.7652,78.1255,State Police Portal,FIR Filed
CC1096,TN34,2025-10-22,15:49:04,Job Fraud,Cyber Deception,16426.09,Tiruvannamalai,12.1819,79.0332,State Police Portal,Under Investigation
CC1097,TN24,2025-10-12,12:17:29,Investment Scam,Identity Fraud,418325.91,Tenkasi,8.9669,77.357,Helpline 1930,Pending Review
CC1098,TN32,2026-01-31,22:37:44,Identity Theft,Cyber Deception,300071.6,Tirupathur,12.5223,78.5298,Bank Referral,Under Investigation
CC1099,TN32,2025-12-17,17:33:39,Phishing,Identity Fraud,314931.56,Tirupathur,12.5371,78.6036,Walk-in Complaint,Pending Review
CC1100,TN15,2025-11-17,10:58:15,Romance Scam,Social Engineering,174908.09,Nagapattinam,10.7478,79.8775,Walk-in Complaint,Resolved
CC1101,TN18,2025-09-28,19:27:42,SIM Swap,Cyber Deception,445384.65,Perambalur,11.1981,78.9091,Bank Referral,FIR Filed
CC1102,TN24,2026-07-10,17:20:13,Card Skimming,Cyber Deception,260536.23,Tenkasi,8.9181,77.3374,Bank Referral,FIR Filed
CC1103,TN14,2025-12-12,05:56:41,Card Skimming,Identity Fraud,123571.27,Mayiladuthurai,11.1069,79.6305,Walk-in Complaint,Resolved
CC1104,TN35,2025-12-16,04:16:38,Phishing,Identity Fraud,63090.21,The Nilgiris,11.4793,76.7388,Helpline 1930,Under Investigation
CC1105,TN05,2025-07-13,08:59:31,Card Skimming,Cyber Deception,292208.22,Cuddalore,11.7257,79.7781,State Police Portal,Chargesheet Filed
CC1106,TN04,2026-03-14,20:31:38,Phishing,Banking Fraud,219148.94,Coimbatore,10.9981,76.9198,National Cybercrime Portal,Chargesheet Filed
CC1107,TN04,2025-02-12,02:17:06,Identity Theft,Cyber Deception,134938.73,Coimbatore,11.0452,76.9984,Helpline 1930,FIR Filed
CC1108,TN03,2026-08-04,01:00:07,Investment Scam,Cyber Deception,360066.41,Chennai,13.0611,80.2448,State Police Portal,Pending Review
CC1109,TN37,2025-10-01,17:22:53,SIM Swap,Social Engineering,12454.08,Viluppuram,11.9485,79.5123,State Police Portal,Resolved
CC1110,TN14,2026-07-09,19:01:10,Phishing,Cyber Deception,370487.6,Mayiladuthurai,11.1564,79.6304,Helpline 1930,Under Investigation
CC1111,TN07,2025-09-10,13:14:15,Card Skimming,Cyber Deception,83655.64,Dindigul,10.3298,77.9415,National Cybercrime Portal,Under Investigation
CC1112,TN16,2025-11-12,13:37:55,Romance Scam,Banking Fraud,223636.44,Kanniyakumari,8.0615,77.5732,Helpline 1930,Resolved
CC1113,TN29,2025-06-03,23:56:24,Romance Scam,Banking Fraud,12490.27,Thoothukudi,8.7907,78.1053,Helpline 1930,Resolved
CC1114,TN34,2025-12-17,10:01:31,Identity Theft,Cyber Deception,194562.44,Tiruvannamalai,12.2195,79.0452,State Police Portal,Under Investigation
CC1115,TN25,2025-06-22,12:13:13,Investment Scam,Identity Fraud,203146.04,Thanjavur,10.7619,79.1169,State Police Portal,Resolved
CC1116,TN31,2025-01-25,21:59:36,SIM Swap,Online Financial Fraud,226670.66,Tirunelveli,8.7439,77.7456,Bank Referral,Chargesheet Filed
CC1117,TN25,2025-01-21,15:27:46,Card Skimming,Banking Fraud,45640.99,Thanjavur,10.7625,79.1107,Bank Referral,Chargesheet Filed
CC1118,TN31,2025-06-11,05:14:54,Romance Scam,Cyber Deception,299953.51,Tirunelveli,8.7449,77.7913,Helpline 1930,Chargesheet Filed
CC1119,TN04,2025-08-23,02:45:58,OTP Fraud,Online Financial Fraud,308109.53,Coimbatore,11.0221,76.9308,Walk-in Complaint,Chargesheet Filed
CC1120,TN29,2025-06-02,09:09:54,Job Fraud,Identity Fraud,435633.35,Thoothukudi,8.7328,78.1257,State Police Portal,Pending Review
CC1121,TN05,2025-08-26,02:39:03,Romance Scam,Social Engineering,144833.25,Cuddalore,11.745,79.7637,State Police Portal,FIR Filed
CC1122,TN02,2025-07-20,19:45:04,Phishing,Online Financial Fraud,135253.02,Chengalpattu,12.7222,79.9791,Helpline 1930,Pending Review
CC1123,TN24,2025-07-03,04:34:59,OTP Fraud,Social Engineering,393667.27,Tenkasi,8.9389,77.2823,Bank Referral,Pending Review
CC1124,TN02,2026-05-28,16:57:03,Job Fraud,Social Engineering,84333.63,Chengalpattu,12.6908,80.0104,State Police Portal,Pending Review
CC1125,TN24,2026-08-11,08:29:15,Card Skimming,Social Engineering,355394.38,Tenkasi,8.9777,77.2813,Walk-in Complaint,Under Investigation
CC1126,TN05,2026-01-22,04:00:18,Card Skimming,Cyber Deception,399620.19,Cuddalore,11.7658,79.7609,Walk-in Complaint,Resolved
CC1127,TN34,2026-04-23,20:33:22,Romance Scam,Cyber Deception,359459.57,Tiruvannamalai,12.2502,79.0999,Walk-in Complaint,Resolved
CC1128,TN11,2026-05-31,15:08:51,UPI Fraud,Social Engineering,37635.12,Karur,11.0096,78.1108,National Cybercrime Portal,Pending Review
CC1129,TN27,2026-01-27,12:19:23,UPI Fraud,Identity Fraud,244123.57,Tiruvallur,13.1652,79.8787,State Police Portal,Resolved
CC1130,TN38,2025-05-24,20:50:19,Job Fraud,Social Engineering,72015.35,Virudhunagar,9.6273,78.0028,Bank Referral,Resolved
CC1131,TN26,2026-04-23,22:29:23,SIM Swap,Banking Fraud,66076.64,Theni,10.0564,77.4513,State Police Portal,Under Investigation
CC1132,TN19,2026-01-19,01:22:29,Job Fraud,Banking Fraud,39983.62,Pudukkottai,10.3591,78.8526,Walk-in Complaint,Resolved
CC1133,TN03,2026-05-06,02:22:21,SIM Swap,Identity Fraud,461070.66,Chennai,13.0493,80.3199,State Police Portal,Pending Review
CC1134,TN18,2025-03-03,00:32:13,Identity Theft,Identity Fraud,13045.78,Perambalur,11.2245,78.912,Helpline 1930,Chargesheet Filed
CC1135,TN21,2025-10-19,11:03:51,Identity Theft,Cyber Deception,62525.6,Ranipet,12.921,79.3321,Walk-in Complaint,Under Investigation
CC1136,TN36,2026-08-03,16:04:09,Job Fraud,Identity Fraud,330647.51,Vellore,12.9105,79.1548,Bank Referral,FIR Filed
CC1137,TN10,2025-07-21,02:39:24,Loan Fraud,Banking Fraud,110898.54,Kancheepuram,12.7886,79.6548,State Police Portal,FIR Filed
CC1138,TN27,2026-08-06,06:26:51,OTP Fraud,Banking Fraud,273980.93,Tiruvallur,13.1157,79.9487,National Cybercrime Portal,Under Investigation
CC1139,TN11,2025-02-08,08:46:30,Phishing,Social Engineering,234685.0,Karur,11.0082,78.1191,Helpline 1930,Under Investigation
CC1140,TN06,2026-04-16,10:39:46,Investment Scam,Banking Fraud,477878.54,Dharmapuri,12.1035,78.1641,Bank Referral,Chargesheet Filed
CC1141,TN34,2025-06-09,21:43:53,Romance Scam,Cyber Deception,341618.11,Tiruvannamalai,12.2559,79.1025,State Police Portal,FIR Filed
CC1142,TN02,2026-03-21,15:17:21,Identity Theft,Identity Fraud,249938.31,Chengalpattu,12.7163,79.9662,Walk-in Complaint,Chargesheet Filed
CC1143,TN17,2025-04-20,04:35:14,SIM Swap,Social Engineering,232709.44,Namakkal,11.1842,78.1273,Walk-in Complaint,Pending Review
CC1144,TN24,2026-02-27,23:25:26,Romance Scam,Identity Fraud,150243.18,Tenkasi,8.9306,77.3274,National Cybercrime Portal,Chargesheet Filed
CC1145,TN04,2026-03-23,12:52:27,OTP Fraud,Banking Fraud,237113.9,Coimbatore,10.9699,76.9996,National Cybercrime Portal,Chargesheet Filed
CC1146,TN16,2026-05-14,15:59:25,Romance Scam,Social Engineering,203253.53,Kanniyakumari,8.1232,77.5171,Walk-in Complaint,FIR Filed
CC1147,TN22,2025-06-13,19:20:37,Job Fraud,Online Financial Fraud,51229.26,Salem,11.6225,78.1697,State Police Portal,Pending Review
CC1148,TN28,2026-05-20,02:59:50,OTP Fraud,Online Financial Fraud,2041.54,Tiruvarur,10.7339,79.5977,Bank Referral,Chargesheet Filed
CC1149,TN37,2025-03-31,01:10:57,Loan Fraud,Identity Fraud,50885.68,Viluppuram,11.9897,79.4443,National Cybercrime Portal,Pending Review
CC1150,TN01,2025-07-16,05:57:25,Card Skimming,Online Financial Fraud,134397.82,Ariyalur,11.1191,79.1123,National Cybercrime Portal,Pending Review
CC1151,TN19,2025-05-22,02:29:38,Loan Fraud,Social Engineering,322088.55,Pudukkottai,10.3997,78.7801,Walk-in Complaint,FIR Filed
CC1152,TN19,2025-02-02,12:54:21,OTP Fraud,Banking Fraud,405325.12,Pudukkottai,10.3656,78.8214,Bank Referral,Resolved
CC1153,TN27,2025-08-29,09:42:20,SIM Swap,Social Engineering,231182.09,Tiruvallur,13.1605,79.8608,National Cybercrime Portal,Pending Review
CC1154,TN08,2025-06-01,03:28:08,OTP Fraud,Online Financial Fraud,141955.16,Erode,11.3243,77.6992,State Police Portal,Resolved
CC1155,TN28,2026-02-24,03:59:41,Identity Theft,Cyber Deception,151970.45,Tiruvarur,10.787,79.674,National Cybercrime Portal,Chargesheet Filed
CC1156,TN11,2026-02-05,06:22:04,UPI Fraud,Online Financial Fraud,420719.55,Karur,10.9905,78.0656,Helpline 1930,Resolved
CC1157,TN26,2025-11-28,14:08:52,Investment Scam,Banking Fraud,329544.0,Theni,10.0562,77.502,State Police Portal,Under Investigation
CC1158,TN11,2025-09-14,13:05:31,Investment Scam,Social Engineering,21970.71,Karur,10.9241,78.0779,Helpline 1930,Chargesheet Filed
CC1159,TN13,2025-07-04,13:02:49,UPI Fraud,Identity Fraud,355971.24,Madurai,9.9552,78.1071,National Cybercrime Portal,Under Investigation
CC1160,TN31,2026-05-29,06:13:09,Investment Scam,Cyber Deception,137449.57,Tirunelveli,8.703,77.7596,Walk-in Complaint,Pending Review
CC1161,TN13,2026-03-22,23:51:02,Card Skimming,Cyber Deception,274014.47,Madurai,9.9291,78.1454,National Cybercrime Portal,Chargesheet Filed
CC1162,TN22,2025-01-19,13:37:40,Phishing,Banking Fraud,414946.83,Salem,11.656,78.1424,Walk-in Complaint,Pending Review
CC1163,TN15,2025-11-19,18:14:28,Loan Fraud,Identity Fraud,445865.08,Nagapattinam,10.8024,79.8766,Walk-in Complaint,Chargesheet Filed
CC1164,TN26,2025-09-29,00:33:14,UPI Fraud,Social Engineering,476052.29,Theni,10.0053,77.4665,Helpline 1930,Under Investigation
CC1165,TN05,2025-10-08,17:52:57,Identity Theft,Banking Fraud,9155.36,Cuddalore,11.7849,79.7947,Bank Referral,Pending Review
CC1166,TN04,2026-05-24,18:13:34,Identity Theft,Identity Fraud,390057.72,Coimbatore,11.0523,76.9984,Helpline 1930,Pending Review
CC1167,TN22,2025-07-01,17:41:12,UPI Fraud,Banking Fraud,40758.77,Salem,11.679,78.1907,National Cybercrime Portal,Under Investigation
CC1168,TN09,2025-09-22,05:42:18,Loan Fraud,Banking Fraud,81768.87,Kallakurichi,11.7309,78.9868,Bank Referral,Under Investigation
CC1169,TN19,2025-11-13,17:44:35,Phishing,Online Financial Fraud,491423.99,Pudukkottai,10.417,78.8558,National Cybercrime Portal,FIR Filed
CC1170,TN05,2025-10-04,05:07:48,Card Skimming,Identity Fraud,61598.08,Cuddalore,11.7746,79.7994,Helpline 1930,Pending Review
CC1171,TN08,2026-05-08,21:39:17,Phishing,Identity Fraud,394711.01,Erode,11.3263,77.706,State Police Portal,Pending Review
CC1172,TN17,2025-01-19,19:51:50,Phishing,Online Financial Fraud,81983.77,Namakkal,11.2031,78.1696,Walk-in Complaint,FIR Filed
CC1173,TN31,2025-12-26,00:21:54,Job Fraud,Banking Fraud,52681.12,Tirunelveli,8.7151,77.7879,State Police Portal,FIR Filed
CC1174,TN13,2026-05-11,18:47:44,Phishing,Social Engineering,417421.07,Madurai,9.9686,78.1479,Walk-in Complaint,Resolved
CC1175,TN25,2025-11-26,20:23:12,UPI Fraud,Online Financial Fraud,227001.8,Thanjavur,10.7374,79.1233,Bank Referral,Chargesheet Filed
CC1176,TN27,2025-01-08,10:55:29,Phishing,Social Engineering,421668.17,Tiruvallur,13.1497,79.9132,National Cybercrime Portal,Pending Review
CC1177,TN09,2026-04-30,15:35:35,Investment Scam,Online Financial Fraud,312848.33,Kallakurichi,11.6915,78.9974,Bank Referral,FIR Filed
CC1178,TN20,2026-07-04,13:18:02,Phishing,Online Financial Fraud,469585.26,Ramanathapuram,9.3804,78.8819,Bank Referral,Resolved
CC1179,TN10,2025-10-15,10:54:26,Phishing,Cyber Deception,182528.83,Kancheepuram,12.834,79.7275,Helpline 1930,Under Investigation
CC1180,TN02,2025-10-19,10:11:45,Phishing,Social Engineering,465773.75,Chengalpattu,12.7042,80.0109,Bank Referral,Under Investigation
CC1181,TN07,2025-09-28,10:20:56,Phishing,Social Engineering,288629.27,Dindigul,10.3706,77.9274,National Cybercrime Portal,Chargesheet Filed
CC1182,TN20,2026-07-18,17:58:54,Phishing,Cyber Deception,467669.44,Ramanathapuram,9.4009,78.8367,Walk-in Complaint,Chargesheet Filed
CC1183,TN07,2026-02-18,01:19:58,Job Fraud,Online Financial Fraud,329290.86,Dindigul,10.3393,77.9247,National Cybercrime Portal,Under Investigation
CC1184,TN38,2025-01-05,03:57:30,UPI Fraud,Banking Fraud,404940.79,Virudhunagar,9.5778,77.9231,State Police Portal,Pending Review
CC1185,TN36,2025-09-11,02:21:10,OTP Fraud,Cyber Deception,350648.04,Vellore,12.8769,79.1637,Helpline 1930,FIR Filed
CC1186,TN09,2025-06-23,23:52:55,Identity Theft,Social Engineering,494833.78,Kallakurichi,11.6888,78.9662,Bank Referral,Pending Review
