location_id,district_id,location_name,city_or_town,location_type,latitude,longitude
LOC0041,TN13,Madurai Market,Madurai,TOWN,9.9465,78.1097
LOC0042,TN14,Mayiladuthurai Market,Mayiladuthurai,AREA,11.1023,79.6552
LOC0043,TN14,Mayiladuthurai Central,Mayiladuthurai,TOWN,11.081,79.6372
LOC0044,TN14,Mayiladuthurai West,Mayiladuthurai,WITHDRAWAL_ZONE,11.0815,79.6254
LOC0045,TN14,Mayiladuthurai Central,Mayiladuthurai,CITY,11.0814,79.6939
LOC0046,TN15,Nagapattinam Central,Nagapattinam,WITHDRAWAL_ZONE,10.741,79.8618
LOC0047,TN15,Nagapattinam North,Nagapattinam,WITHDRAWAL_ZONE,10.7304,79.8885
LOC0048,TN15,Nagapattinam West,Nagapattinam,WITHDRAWAL_ZONE,10.7645,79.8734
LOC0049,TN16,Kanniyakumari North,Kanniyakumari,CITY,8.048,77.5316
LOC0050,TN16,Kanniyakumari East,Kanniyakumari,ATM_ZONE,8.085,77.5614
LOC0051,TN16,Kanniyakumari Market,Kanniyakumari,CITY,8.0444,77.5613
LOC0052,TN17,Namakkal North,Namakkal,TOWN,11.1879,78.1623
LOC0053,TN17,Namakkal East,Namakkal,TOWN,11.1968,78.1424
LOC0054,TN18,Perambalur East,Perambalur,WITHDRAWAL_ZONE,11.194,78.8973
LOC0055,TN18,Perambalur West,Perambalur,CITY,11.2811,78.9247
LOC0056,TN19,Pudukkottai North,Pudukkottai,ATM_ZONE,10.3783,78.7919
LOC0057,TN19,Pudukkottai East,Pudukkottai,CITY,10.3462,78.7707
LOC0058,TN20,Ramanathapuram South,Ramanathapuram,ATM_ZONE,9.3424,78.8518
LOC0059,TN20,Ramanathapuram Market,Ramanathapuram,WITHDRAWAL_ZONE,9.3801,78.8308
LOC0060,TN20,Ramanathapuram North,Ramanathapuram,AREA,9.3357,78.7879
LOC0061,TN21,Ranipet West,Ranipet,CITY,12.952,79.289
LOC0062,TN21,Ranipet West,Ranipet,ATM_ZONE,12.9275,79.3686
LOC0063,TN21,Ranipet North,Ranipet,CITY,12.9733,79.2913
LOC0064,TN21,Ranipet North,Ranipet,CITY,12.9367,79.3508
LOC0065,TN22,Salem East,Salem,CITY,11.7085,78.153
LOC0066,TN22,Salem West,Salem,WITHDRAWAL_ZONE,11.6183,78.1042
LOC0067,TN23,Sivaganga West,Sivaganga,WITHDRAWAL_ZONE,9.8456,78.5244
LOC0068,TN23,Sivaganga North,Sivaganga,AREA,9.8172,78.4705
LOC0069,TN23,Sivaganga Market,Sivaganga,AREA,9.839,78.5238
LOC0070,TN23,Sivaganga Central,Sivaganga,CITY,9.8391,78.5307
LOC0071,TN24,Tenkasi Central,Tenkasi,WITHDRAWAL_ZONE,8.9277,77.2916
LOC0072,TN24,Tenkasi South,Tenkasi,CITY,8.9943,77.3021
LOC0073,TN25,Thanjavur East,Thanjavur,WITHDRAWAL_ZONE,10.8074,79.149
LOC0074,TN25,Thanjavur Plaza,Thanjavur,WITHDRAWAL_ZONE,10.7378,79.1695
LOC0075,TN26,Theni Market,Theni,CITY,10.0543,77.4402
LOC0076,TN26,Theni Central,Theni,CITY,10.0346,77.4423
LOC0077,TN26,Theni South,Theni,WITHDRAWAL_ZONE,9.9815,77.4611
LOC0078,TN27,Tiruvallur Market,Tiruvallur,AREA,13.1407,79.8822
LOC0079,TN27,Tiruvallur Plaza,Tiruvallur,CITY,13.0994,79.8995
LOC0080,TN27,Tiruvallur South,Tiruvallur,CITY,13.0906,79.9342
LOC0081,TN27,Tiruvallur Market,Tiruvallur,AREA,13.1064,79.9013
LOC0082,TN28,Tiruvarur East,Tiruvarur,WITHDRAWAL_ZONE,10.7171,79.5919
LOC0083,TN28,Tiruvarur Market,Tiruvarur,TOWN,10.7707,79.6679
LOC0084,TN28,Tiruvarur West,Tiruvarur,WITHDRAWAL_ZONE,10.7309,79.5971
LOC0085,TN28,Tiruvarur South,Tiruvarur,AREA,10.806,79.664
LOC0086,TN29,Thoothukudi South,Thoothukudi,TOWN,8.7824,78.1515
LOC0087,TN29,Thoothukudi South,Thoothukudi,WITHDRAWAL_ZONE,8.8026,78.1254
LOC0088,TN30,Tiruchirappalli Market,Tiruchirappalli,TOWN,10.8331,78.6784
LOC0089,TN30,Tiruchirappalli North,Tiruchirappalli,TOWN,10.8286,78.6572
LOC0090,TN30,Tiruchirappalli Market,Tiruchirappalli,AREA,10.8187,78.6959
LOC0091,TN30,Tiruchirappalli Market,Tiruchirappalli,TOWN,10.7672,78.7334
LOC0092,TN31,Tirunelveli East,Tirunelveli,CITY,8.7498,77.7289
LOC0093,TN31,Tirunelveli Plaza,Tirunelveli,ATM_ZONE,8.6989,77.7888
LOC0094,TN32,Tirupathur North,Tirupathur,CITY,12.5097,78.5559
LOC0095,TN32,Tirupathur South,Tirupathur,CITY,12.5404,78.544
LOC0096,TN33,Tiruppur West,Tiruppur,ATM_ZONE,11.1265,77.3755
LOC0097,TN33,Tiruppur South,Tiruppur,CITY,11.07,77.3881
LOC0098,TN33,Tiruppur North,Tiruppur,WITHDRAWAL_ZONE,11.1548,77.3176
LOC0099,TN33,Tiruppur Central,Tiruppur,WITHDRAWAL_ZONE,11.102,77.364
LOC0100,TN34,Tiruvannamalai East,Tiruvannamalai,WITHDRAWAL_ZONE,12.2737,79.0363
LOC0101,TN34,Tiruvannamalai West,Tiruvannamalai,TOWN,12.2008,79.0956
LOC0102,TN34,Tiruvannamalai Central,Tiruvannamalai,WITHDRAWAL_ZONE,12.2679,79.0785
LOC0103,TN35,The Nilgiris Market,The Nilgiris,TOWN,11.478,76.6907
LOC0104,TN35,The Nilgiris Market,The Nilgiris,AREA,11.5039,76.75
LOC0105,TN35,The Nilgiris Central,The Nilgiris,AREA,11.4923,76.7504
LOC0106,TN35,The Nilgiris South,The Nilgiris,ATM_ZONE,11.5113,76.7391
LOC0107,TN36,Vellore East,Vellore,ATM_ZONE,12.9342,79.1728
LOC0108,TN36,Vellore West,Vellore,WITHDRAWAL_ZONE,12.8966,79.1373
LOC0109,TN37,Viluppuram South,Viluppuram,AREA,11.9111,79.5147
LOC0110,TN37,Viluppuram West,Viluppuram,AREA,11.9366,79.4803
LOC0111,TN38,Virudhunagar West,Virudhunagar,ATM_ZONE,9.6166,78.0084
LOC0112,TN38,Virudhunagar Market,Virudhunagar,TOWN,9.6031,77.9408
